Vendor,Name,Serial,KeyIdentifier,NotBefore,NotAfter,SHA1,SHA256
Mozilla,"CN=Security Communication ECC RootCA1,O=SECOM Trust Systems CO.\,LTD.,C=JP",D65D9BB378812EEB,861CE7FE2DA54A8B08FE2811FABEA366F860592F,2016-06-16T05:15:28Z,2038-01-18T05:15:28Z,B80E26A9BFD2B23BC0EF46C9BAC7BBF61D0D4141,E74FBDA55BD564C473A36B441AA799C8A68E077440E8288B9FA1E50E4BBACA11
Mozilla,"CN=D-TRUST BR Root CA 1 2020,O=D-Trust GmbH,C=DE",7CC98F2B84D7DFEA0FC9659AD34B4D96,739110ABFF55B35A7C0925D5B2BA08A06BAB1F6D,2020-02-11T09:45:00Z,2035-02-11T09:44:59Z,1F5B98F0E3B5F7743CEDE6B0367D32CDF4094167,E59AAA816009C22BFF5B25BAD37DF306F049797C1F81D85AB089E657BD8F0044
Mozilla,"CN=Certigna,O=Dhimyotis,C=FR",FEDCE3010FC948FF,1AEDFE413990B42459BE01F252D545F65A39DC11,2007-06-29T15:13:05Z,2027-06-29T15:13:05Z,B12E13634586A46F1AB2606837582DC4ACFD9497,E3B6A2DB2ED7CE48842F7AC53241C7B71D54144BFB40C11F3F1D0B42F5EEA12D
Mozilla,"CN=Amazon Root CA 4,O=Amazon,C=US",066C9FD7C1BB104C2943E5717B7B2CC81AC10E,D3ECC73A656ECCE1DA769A56FB9CF3866D57E581,2015-05-26T00:00:00Z,2040-05-26T00:00:00Z,F6108407D6F8BB67980CC2E244C2EBAE1CEF63BE,E35D28419ED02025CFA69038CD623962458DA5C695FBDEA3C22B0BFB25897092
Mozilla,"CN=CA Disig Root R2,O=Disig a.s.,L=Bratislava,C=SK",92B888DBB08AC163,B599F8AFB094F5E320D60AADCE4E56A42E6E42ED,2012-07-19T09:15:30Z,2042-07-19T09:15:30Z,B561EBEAA4DEE4254B691A98A55747C234C7D971,E23D4A036D7B70E9F595B1422079D2B91EDFBB1FB651A0633EAA8A9DC5F80703
Mozilla,"CN=TrustAsia Global Root CA G3,O=TrustAsia Technologies\, Inc.,C=CN",64F60E6577616AAB3BB4EA8584BBB189B871930F,40E4E4F223EF38CAB0AE577FF221301634DBBC92,2021-05-20T02:10:19Z,2046-05-19T02:10:19Z,63CFB6C1272B56E4888E1C239AB62E814724C3C7,E0D3226AEB1163C2E48FF9BE3B50B4C6431BE7BB1EACC5C36B5D5EC509039A08
Mozilla,"CN=TeliaSonera Root CA v1,O=TeliaSonera",95BE16A0F72E46F17B398272FA8BCD96,F08F593800B3F58F9A960CD5EBFA7BAA17E81312,2007-10-18T12:00:50Z,2032-10-18T12:00:50Z,4313BB96F1D5869BC14E6A92F6CFF63469878237,DD6936FE21F8F077C123A1A521C12224F72255B73E03A7260693E8A24B0FA389
Mozilla,"CN=HARICA TLS RSA Root CA 2021,O=Hellenic Academic and Research Institutions CA,C=GR",39CA931CEF43F3C68E93C7F46489387E,0A4823A660A4920A33EA935BC557EA254DBD12EE,2021-02-19T10:55:38Z,2045-02-13T10:55:37Z,022D0582FA88CE140C0679DE7F1410E945D7A56D,D95D0E8EDA79525BF9BEB11B14D2100D3294985F0C62D9FABD9CD999ECCB7B1D
Mozilla,"CN=GTS Root R1,O=Google Trust Services LLC,C=US",0203E5936F31B01349886BA217,E4AF2B26711A2B4827852F52662CEFF08913713E,2016-06-22T00:00:00Z,2036-06-22T00:00:00Z,E58C1CC4913B38634BE9106EE3AD8E6B9DD9814A,D947432ABDE7B7FA90FC2E6B59101B1280E0E1C7E4E40FA3C6887FFF57A7F4CF
Mozilla,"CN=Certigna Root CA,OU=0002 48146308100036,O=Dhimyotis,C=FR",CAE91B89F155030DA3E6416DC4E3A6E1,188756E06E77EE24353C4E739A1FD6E1E2797E2B,2013-10-01T08:32:27Z,2033-10-01T08:32:27Z,2D0D5214FF9EAD9924017420476E6C852727F543,D48D3D23EEDB50A459E55197601C27774B9D7B18C94D5A059511A10250B93168
